sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
12,Bangalore,PH :080-26304050 / 66001066 / 8197026604,"PIN : 560076, Apollo Specialty Hospital, 21/2, Old No-2, 14th Cross, Sri Nitturu, Srinivasarao Road, Jayanagar 3rd Block,, Nagar East, Karnataka PIN : 560011, PH :080-46124444 / 9019963156, Apollo Hospitals",080-26304050 / 66001066 / 8197026604; 080-46124444 / 9019963156,,Payment as per MoU. and Total facilities of hospital (OPD & Indoor) Jaya Payment as per MoU. Total facilities of hospital,06.04.2017,"Bangalore   PIN : 560076                                         Payment as per MoU. 12.               Srinivasarao Road, Jayanagar 3rd Block, Jaya         Payment as per MoU."
13,Bangalore,PH :080-46124444 / 9019963156,"Karnataka PIN : 560011, Apollo Hospitals, #1, Old No. - 28, Platform Road, Sheshad, Karnataka PIN : 560020, PH :080-46688999 / 46688069, SAGAR HOSPITALS, #44/54, 30th Cross, Tilaknagar Jayanagar",080-46124444 / 9019963156; 080-46688999 / 46688069,,Total facilities of hospital ripuram (OPD & Indoor) Payment as per MoU.,08.10.2025,Karnataka PIN : 560020                               Payment as per MoU.
14,Bangalore,PH :080-46688999 / 46688069,"SAGAR HOSPITALS, #44/54, 30th Cross, Tilaknagar Jayanagar, Extension, Bannerghatta Road,, Bangalore-560041,, Ph: 080-42888888, 26536700-708, FaX:2663, E-Mail: infojnr@sagarhospitals.in, FORTIS HOSPITALS LIMITED, 154/9, Bannerghatta Road, Opp.IIM-B","080-46688999 / 46688069; 080-42888888, 26536700-708,; 26636444,",infojnr@sagarhospitals.in,"Total facilities of hospital (OPD & Indoor) 6444,",02.04.2011,
15,Bangalore,FORTIS HOSPITALS LIMITED,"Ph: 080-42888888, 26536700-708, FaX:2663, E-Mail: infojnr@sagarhospitals.in, 154/9, Bannerghatta Road, Opp.IIM-B,, Bangalore-560076,, Ph:-080-66214444, FaX:- 080-66214242,, E-mail:- care.bng@fortishospitals.in, Aster CMI Hospital (A unit of DM Health, Limited)","080-42888888, 26536700-708,; 26636444,; 080-66214444,; 080-66214242,",care.bng@fortishospitals.in; infojnr@sagarhospitals.in,"(OPD & Indoor) 6444, Total facilities of hospital (OPD & Indoor) care",05.04.2011,
16,Bangalore,E-mail:- care.bng@fortishospitals.in,"Ph:-080-66214444, FaX:- 080-66214242,, Aster CMI Hospital (A unit of DM Health, Limited), #43/2, New Airport Road, NH-7, Sahakara, Hebbal, Bangalore – 560092, Karnataka., Ph.: - 080-4342 0100/ 080-22147147, E-m, customercare.aster@asterhospital.com, Health Care Global Enterprises Limited, HCG Towers, #8, P. Kalinga Road","080-66214444,; 080-66214242,; 080-4342 0100/ 080-22147147,",care.bng@fortishospitals.in; customercare.aster@asterhospital.com,"(OPD & Indoor) care Nagar, Total facilities of the hospital (OPD & Indoor) ail:",06.01.2017,
17,Bangalore,customercare.aster@asterhospital.com,"Hebbal, Bangalore – 560092, Karnataka., Ph.: - 080-4342 0100/ 080-22147147, E-m, Health Care Global Enterprises Limited, HCG Towers, #8, P. Kalinga Road,, Sampangi Ram Nagar, Bangalore-560027, Tel.: +91 80 3366 9999/ 93413 07646, Email: info@hcgoncology.com, padmanabhan.v@hcgoncology.com, Kauvery Hospital","080-4342 0100/ 080-22147147,; +91 80 3366 9999/ 93413 07646",customercare.aster@asterhospital.com; info@hcgoncology.com; padmanabhan.v@hcgoncology.com,hospital (OPD & Indoor) ail: Total facilities (Oncology) of the hospital (OPD & Indoor),06.04.2017,
18,Bangalore,Kauvery Hospital,"Tel.: +91 80 3366 9999/ 93413 07646, Email: info@hcgoncology.com, padmanabhan.v@hcgoncology.com, 92/1 A & B, Konappana Agrahara, Electronic City,, Bengaluru South 560100, M S Ramaiah Hospital",+91 80 3366 9999/ 93413 07646,info@hcgoncology.com; padmanabhan.v@hcgoncology.com,the hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor),03.10.2023,
19,Bangalore,M S Ramaiah Hospital,"Electronic City,, Bengaluru South 560100, M.S.R. Nagar, M.S.R.I.T. Post,, Bangalore, Karnataka., PIN-560054, SPARSH HOSPITAL (A unit of Shiva & Shiva, Orthopedic Hospital Pvt. Ltd.) 4/1, Tumk",,,"hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor) ur Road,",15.02.2024,
20,Bangalore,SPARSH HOSPITAL (A unit of Shiva & Shiva,"Bangalore, Karnataka., PIN-560054, Orthopedic Hospital Pvt. Ltd.) 4/1, Tumk, Yeshwanthpur Industrial Area, Phase 1,, Yeshwantpur, Bengaluru, Karnataka 560022, Narayana Institute of Cardiac Sciences, 258/A, Bommasandra Industrial Area, Anek, Taluk, Bengaluru- 560099, Renuka Eye Institute, 25/3, Jessore Road (S), Rathtala, Barasa",,,"hospital (OPD & Indoor) ur Road, Total facilities of the hospital (OPD & Indoor) Accepted for Adult al Cardiology, Paediatric Cardiology and Vascular Diseases. Payment as per MoU. t,",08.08.2024,Payment as per MoU.
22,Bangalore,Narayana Institute of Cardiac Sciences,"258/A, Bommasandra Industrial Area, Anek, Taluk, Bengaluru- 560099, Renuka Eye Institute, 25/3, Jessore Road (S), Rathtala, Barasa, Kolkata – 700127, Ph.:033-25844700/ 25844714, Email: renukaeye09@yahoo.in, Vikash Multi Speciality Hospital",033-25844700/ 25844714,renukaeye09@yahoo.in,"Accepted for Adult al Cardiology, Paediatric Cardiology and Vascular Diseases. Payment as per MoU. t, Single Speciality- EYE Hospital (OPD & Indoor) Total facilities of the",20.02.2025,Payment as per MoU.
23,Bargarh,Vikash Multi Speciality Hospital,"Ph.:033-25844700/ 25844714, Email: renukaeye09@yahoo.in, AH-46, Barahaguda Canal Chowk,, Bargarh-768040, Odisha India, Sparsh Multispeciality Hospital",033-25844700/ 25844714,renukaeye09@yahoo.in,Hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor) Payments in favor of Vikash Multi speciality Hospital,31.12.2021,Payments in favor of Vikash
24,Bargarh,Sparsh Multispeciality Hospital,"Bargarh-768040, Odisha India, Shri Ram Market, Ram Nagar, Supela, Bhil, Durg, Chhattisgarh- 490023, Mittal Institute of Medical Science, Mit, Hospital, Bhilai,, Junwanu Road Smriti Nagar Bhilai,, District Durg, Chattisgarh India, Hi-Tek Superspeciality Hospital",,,"Payments in favor of Vikash Multi speciality Hospital ai, Dist- Total facilities of hospital (OPD & Indoor) tal Bhilai Total facilities of the hospital (OPD & Indoor) Payments in favor of MITTAL INSTITUTE OF MEDICAL SCIENCE BHILAI",31.12.2021,"Payments in favor of Vikash Bhilai      Junwanu Road Smriti Nagar Bhilai,                    Payments in favor of            31.12.2021"
26,Bhilai,"Mittal Institute of Medical Science, Mit","Hospital, Bhilai,, Junwanu Road Smriti Nagar Bhilai,, District Durg, Chattisgarh India, Hi-Tek Superspeciality Hospital,, Junwani Road, Smriti Nagar, Bhilai (CG), Durg-490020 Chattisgarh, CHIRAYU MEDICAL COLLEGE & HOSPITAL, Bhopal-Indore Highway, Near Bairagarh",,,tal Bhilai Total facilities of the hospital (OPD & Indoor) Payments in favor of MITTAL INSTITUTE OF MEDICAL SCIENCE BHILAI Total facilities of hospital (OPD & Indoor),31.12.2021,"Bhilai      Junwanu Road Smriti Nagar Bhilai,                    Payments in favor of            31.12.2021"
27,Durg,CHIRAYU MEDICAL COLLEGE & HOSPITAL,"Durg-490020 Chattisgarh, Bhopal-Indore Highway, Near Bairagarh,, Bhopal, M.P.-462030,, Tel: 0755-6679101/102/103, 6679222,, Fax: 0755-6679139, 6679133,, E-Mail: cmchbhopal@gmail.com, Manoria Heart & Critical Care Centre","0755-6679101/102/103, 6679222,                  (; 0755-6679139, 6679133,",cmchbhopal@gmail.com,(OPD & Indoor) Total facilities of hospital (OPD & Indoor),01.04.2011,
28,Bhopal,Manoria Heart & Critical Care Centre,"Tel: 0755-6679101/102/103, 6679222,, Fax: 0755-6679139, 6679133,, E-Mail: cmchbhopal@gmail.com, A-1/40, Chuna Bhatti, Main Road, Near Ma, Resturant, Bhopal – 462016, Ph: 0755-424, People’s Hospital","0755-6679101/102/103, 6679222,                  (; 0755-6679139, 6679133,; 0755-4240999",cmchbhopal@gmail.com,(OPD & Indoor) Acceptable for CARDIAC yuri 0999 SERVICES ONLY.,17.07.2012,
29,Bhopal,People’s Hospital,"Resturant, Bhopal – 462016, Ph: 0755-424, Karond Bypass Road, Bhanpur, Bhopal – 46, Ph: 0755-4005200/01/02, CAREER INSTITUTE OF MEDICAL SCIENCES, Career College Campus, Opp. Dushehara Ma",0755-4240999; 0755-4005200/01/02,,"0999 SERVICES ONLY. Total facilities of hospital 2037 (OPD & Indoor) idan,",17.07.2012,
30,Bhopal,CAREER INSTITUTE OF MEDICAL SCIENCES,"Ph: 0755-4005200/01/02, Career College Campus, Opp. Dushehara Ma, Govindpura (BHEL), Bhopal-462023,, Ph: 0755-2488090, 2488680, Fax: 0755-248, E-Mail: info.cims03@gmail.com, CHIRAYU HEALTH & MEDICARE (P). LTD.","0755-4005200/01/02; 0755-2488090, 2488680,; 0755-2488390,",info.cims03@gmail.com,"(OPD & Indoor) idan, Total facilities of hospital (OPD & Indoor) 8390,",01.04.2011,
31,Bhopal,CHIRAYU HEALTH & MEDICARE (P). LTD.,"Ph: 0755-2488090, 2488680, Fax: 0755-248, E-Mail: info.cims03@gmail.com, 6, Malipura, Bhopal -462001, Ph.: 0755 2737401, 2737402, 2737403, JAWAHARLAL NEHRU CANCER HOSPITAL &, RESEARCH CENTRE, P.B. No. 32, Idgah Hills, Bhopal - 46","0755-2488090, 2488680,; 0755-2488390,; 0755 2737401, 2737402, 2737403",info.cims03@gmail.com,"(OPD & Indoor) 8390, Total facilities of hospital (OPD & Indoor) 2 001 (M.P.),",01.04.2011,
32,Bhopal,JAWAHARLAL NEHRU CANCER HOSPITAL &,"Ph.: 0755 2737401, 2737402, 2737403, RESEARCH CENTRE, P.B. No. 32, Idgah Hills, Bhopal - 46, Ph:-0755-2665720,2666374,4240456, FaX:- 0755-2738325, E-mail:- jncancer@sancharnet.in,, jncancer@airtelmail.in, Galaxy Hospital (Magnum Healthcare), 25, Banjari, Near Jain Mandir, Danish, Road, Bhopal, Madhya Pradesh-462042, Ph: 0755-2665720/2411222, Email: galaxyhospitalbpl@gmail.com, galaxytpa@gmail.com, Narmada Trauma Centre (Narmada Health, Group),, E3/23, Arera Colony, Bhopal, M. P. -4","0755 2737401, 2737402, 2737403; 0755-2665720,2666374,4240456                                                     02; 0755-2738325; 0755-2665720/2411222",jncancer@airtelmail.in; galaxytpa@gmail.com; galaxyhospitalbpl@gmail.com; jncancer@sancharnet.in,"(OPD & Indoor) 2 001 (M.P.), Total facilities of hospital (OPD & Indoor) Kunj, Kolar Acceptable for Orthopedic Services & Joint Replacement only 62016",02.04.2011,
34,Bhopal,Narmada Trauma Centre (Narmada Health,"Ph: 0755-2665720/2411222, Email: galaxyhospitalbpl@gmail.com, galaxytpa@gmail.com, Group),, E3/23, Arera Colony, Bhopal, M. P. -4, Ph. +91-755-4040000, Fax:+91-755-2422, Email: Info@narmadahealthgroup.com, Noble Multispeciality Hospital,, Plot No. 269/1, Adjacent to Capital M, Opp. Misrod Police Station","0755-2665720/2411222; +91-755-4040000,; +91-755-2422255                                             25",galaxytpa@gmail.com; galaxyhospitalbpl@gmail.com; Info@narmadahealthgroup.com,"Services & Joint Replacement only 62016 Total facilities of hospital 255 (OPD & Indoor) all,",25.05.2018,
35,Bhopal,Noble Multispeciality Hospital,"Email: Info@narmadahealthgroup.com, Plot No. 269/1, Adjacent to Capital M, Opp. Misrod Police Station,, Hoshangabad Road, Bhopal M. P. -46202, Ph: +91-755-7110711, 2488008,, Email: contact@noblebhopal.com, ASG Eye Hospital Pvt. Ltd.","+91-755-7110711, 2488008,",contact@noblebhopal.com; Info@narmadahealthgroup.com,"(OPD & Indoor) all, Total facilities of hospital 6 (OPD & Indoor) Acceptable for",25.09.2018,
36,Bhopal,ASG Eye Hospital Pvt. Ltd.,"Ph: +91-755-7110711, 2488008,, Email: contact@noblebhopal.com, Mahadev Commercial Complex, Shivaji N, Bhopal, Madhya Pradesh., PIN- 462016, ApolloSage Hospital","+91-755-7110711, 2488008,",contact@noblebhopal.com,"(OPD & Indoor) Acceptable for agar, Ophthalmology Services Only (OPD & Indoor) Total facilities of hospital",19.04.2023,
37,Bhopal,ApolloSage Hospital,"Bhopal, Madhya Pradesh., PIN- 462016, E-8 Extension, Bawadiya Kalan, Bhopal PIN : 462026, PH :0755 -4308101, L.V.Prasad Eye Institute",0755 -4308101,,Only (OPD & Indoor) Total facilities of hospital (OPD & Indoor) Payment as per MoU.,08.10.2025,Bhopal PIN : 462026                                  Payment as per MoU.
38,Bhubaneshwar,PH :0755 -4308101,"L.V.Prasad Eye Institute, Patia, Bhubaneshwar – 751024, Ph: 0674- 2725424, 3987999, Fax: 0674, E-Mail: bei-appointment@lvpei.org, Shree Hospital","0755 -4308101; 0674- 2725424, 3987999,; 0674-3987130",bei-appointment@lvpei.org,Acceptable for Eye Care -3987130 Services,01.03.2012,
39,Bhubaneswar,Shree Hospital,"Ph: 0674- 2725424, 3987999, Fax: 0674, E-Mail: bei-appointment@lvpei.org, 246, Lewis Road, Bhubaneswar-751014, Ph No. 0674 2431126/27/28, HI Tech Medical College & Hospital","0674- 2725424, 3987999,; 0674-3987130",bei-appointment@lvpei.org,-3987130 Services Total facilities of the hospital (OPD & Indoor),23.12.2014,
40,Bhubaneshwar,HI Tech Medical College & Hospital,"Ph No. 0674 2431126/27/28, Pandara, HealthPark, Bhubaneswar-7510, Ph.06742371406/7/8, Fax No.0674237140, Email: vbctmch@yahoo.com, Neelachal Hospital Pvt. Ltd., A/84, Kharvel Nagar,Unit- III","06742371406/7/8,",vbctmch@yahoo.com,hospital (OPD & Indoor) 25 Total facilities of hospital 9 (OPD & Indoor),04.01.2013,
41,Bhubaneshwar,Neelachal Hospital Pvt. Ltd.,"Ph.06742371406/7/8, Fax No.0674237140, Email: vbctmch@yahoo.com, A/84, Kharvel Nagar,Unit- III,, Bhubaneswar- 751001, Ph:- 0674-2536590 / 2536591 / 2536592, Fax:- 0674-2536593, E-mail:- neelachalhospital@hotmail.co, Sparsh Hospital & Critical Care (P) L, A/407, Sahid Nagar, Bhubaneswar- 7510","06742371406/7/8,; 0674-2536590 / 2536591 / 2536592                (; 0674-2536593",vbctmch@yahoo.com; neelachalhospital@hotmail.com,9 (OPD & Indoor) Total facilities of hospital (OPD & Indoor) m td 07,18.06.2014,
42,Bhubaneshwar,Sparsh Hospital & Critical Care (P) L,"Ph:- 0674-2536590 / 2536591 / 2536592, Fax:- 0674-2536593, E-mail:- neelachalhospital@hotmail.co, A/407, Sahid Nagar, Bhubaneswar- 7510, Ph.: - 0674- 254 0183/188/189/6626666, Fax: - 0674-254 5860, E-mail:- info@sparshhospitals.com, Manipal Hospitals, Plot No.1, Beside Satya Sai Enclave,, Bhubaneshwar 751030, Odisha.",0674-2536590 / 2536591 / 2536592                (; 0674-2536593; 0674- 254 0183/188/189/6626666                                                18; 0674-254 5860,info@sparshhospitals.com; neelachalhospital@hotmail.com,"(OPD & Indoor) m td 07 Total facilities of hospital (OPD & Indoor) Cardiac Sciences, Khandagiri, (Cardiology and CTVS), Neuro Sciences (Neuro Modified on",18.06.2014,
43,Bhubaneshwar,Institute of Medical Sciences & Sum H,"Fax: - 0674-254 5860, E-mail:- info@sparshhospitals.com, Manipal Hospitals, Plot No.1, Beside Satya Sai Enclave,, Bhubaneshwar 751030, Odisha., Tel: 0674-666 6600, K 8 Kalinga Nagar, Bhubaneshwar 75100",0674-254 5860; 0674-666 6600,info@sparshhospitals.com,"(OPD & Indoor) Cardiac Sciences, Khandagiri, (Cardiology and CTVS), Neuro Sciences (Neuro Modified on Medicine and Neuro Surgery) ,Orthopedics Name modified (Including Trauma) (OPD & on Indoor) ospital 3.",03.08.2023,
44,Bhubaneshwar,Institute of Medical Sciences & Sum H,"K 8 Kalinga Nagar, Bhubaneshwar 75100, Tel: 0674-238 6214/6292,, Fax: 0674-238 6293/6223, Email: principal_ims@yahoo.co.in, Vivekanand Hospital (A Unit of Viveka, Medical Mission Ltd.), A 54/1, Fire Station Square, Baramund, Bhubaneshwar 751003.","0674-238 6214/6292,                                                          23; 0674-238 6293/6223",principal_ims@yahoo.co.in,"Surgery) ,Orthopedics Name modified (Including Trauma) (OPD & on Indoor) ospital 3. Total facilities of the hospital (OPD & Indoor) nand a,",13.11.2024,
45,Bhubaneshwar,Vivekanand Hospital (A Unit of Viveka,"Fax: 0674-238 6293/6223, Email: principal_ims@yahoo.co.in, Medical Mission Ltd.), A 54/1, Fire Station Square, Baramund, Bhubaneshwar 751003., Tel: 0674-2565357/2561402-03, Fax: 0674-2563891, Email: vivekanandhospital.bbsr@gmail., saurajit.seth@vivekanandahosp, saurajit.seth@gmail.com, Care Hospitals, Plot No.-324(P), Prachi Enclave",0674-238 6293/6223; 0674-2565357/2561402-03                                                      25; 0674-2563891,saurajit.seth@gmail.com; vivekanandhospital.bbsr@gmail.com; saurajit.seth@vivekanandahospital.com; principal_ims@yahoo.co.in,"hospital (OPD & Indoor) nand a, Total facilities of the hospital (OPD & Indoor) com ital.com",25.02.2016,
46,Bhubaneshwar,Care Hospitals,"Fax: 0674-2563891, Email: vivekanandhospital.bbsr@gmail., saurajit.seth@vivekanandahosp, saurajit.seth@gmail.com, Plot No.-324(P), Prachi Enclave,, Chandrasekharpur, Bhubaneswar-751016, Tel.: +91 674 3021999, Email: info@carehospitals.com, Kalinga Institute of Medical Sciences, Kushbhadra Campus (Campus-5), Patia",0674-2563891; +91 674 3021999,saurajit.seth@gmail.com; vivekanandhospital.bbsr@gmail.com; info@carehospitals.com; saurajit.seth@vivekanandahospital.com,hospital (OPD & Indoor) com ital.com Total facilities of the hospital (OPD & Indoor) (KIMS),06.04.2017,
47,Bhubaneshwar,Kalinga Institute of Medical Sciences,"Tel.: +91 674 3021999, Email: info@carehospitals.com, Kushbhadra Campus (Campus-5), Patia, Bhubaneshwar-751024, Odisha, Ph.: 0674-2304400/2305300, Fax : 0674, Email: info@kims.ac.in, Sum Ultimate Medicare,, K-8, Kalinga Nagar, Ghatikia,, Bhubaneshwar-751003, UTKAL HOSPITAL, Utkal healthcare Private Limited","+91 674 3021999; 0674-2304400/2305300,; 0674-2725415",info@carehospitals.com; info@kims.ac.in,hospital (OPD & Indoor) (KIMS) Total facilities of the -2725415 hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor) Payments to be made in favor of SUM ULTIMATE MEDICARE Total facilities of the hospital (OPD & Indoor),25.09.2018,Bhubaneshwar   Bhubaneshwar-751003                                Payments to be made in         10.09.2021
49,Bhubaneshwar,UTKAL HOSPITAL,"Sum Ultimate Medicare,, K-8, Kalinga Nagar, Ghatikia,, Bhubaneshwar-751003, Utkal healthcare Private Limited, Plot No C/3, Niladri Vihar, Chandrase, Bhubaneswar-751021, Dr Agarwal's Eye Hospital",,,"Total facilities of the hospital (OPD & Indoor) Payments to be made in favor of SUM ULTIMATE MEDICARE Total facilities of the hospital (OPD & Indoor) kharpur, Payments to be made in favor of UTKAL HEALTHCARE PRIVATE LIMITED For Ophthalmology Services",10.09.2021,"Bhubaneshwar   Bhubaneshwar-751003                                Payments to be made in         10.09.2021 49.                  Plot No C/3, Niladri Vihar, Chandrasekharpur,      Payments to be made in"
50,Bhubaneshwar,Dr Agarwal's Eye Hospital,"Bhubaneswar-751021, 2nd Floor, BMC-1, BMC Bhawani Mall, Saheed Nagar, Bhubaneswar 751007 Odis, ASG Eye Hospital",,,favor of UTKAL HEALTHCARE PRIVATE LIMITED For Ophthalmology Services Payment to be made in ha favour of DR AGARWALS HEALTH CARE LIMITED Acceptable for,10.09.2021,"50.                  2nd Floor, BMC-1, BMC Bhawani Mall                 Payment to be made in"
51,Bhubaneshwar,ASG Eye Hospital,"Saheed Nagar, Bhubaneswar 751007 Odis, Plot No. 493/629,, Shriya Talkies St, Kharabela Nagar,, Bhubaneswar, Odisha 751001, IGKC Multispecialty Hospital.",,,ha favour of DR AGARWALS HEALTH CARE LIMITED Acceptable for Ophthalmology Services Only (OPD & Indoor),08.08.2023,
52,Bhubaneswar,IGKC Multispecialty Hospital.,"Shriya Talkies St, Kharabela Nagar,, Bhubaneswar, Odisha 751001, Plot No.43-44/1695, Ghatikia,, Bhubaneswar, Khordha., PIN-751003, Bagchi Sri Shankara Cancer Centre and",,,Only (OPD & Indoor) Total facilities of hospital (OPD & Indoor) Research,15.02.2024,
53,Bhubaneswar,Bagchi Sri Shankara Cancer Centre and,"Bhubaneswar, Khordha., PIN-751003, Institute, IDCO Plot No. A2, Infovall, Chandihata, Bhubaneswar, Dist, Odisha, Apollo Hospitals- Bhubaneswar",,,"(OPD & Indoor) Research ey, Mouza- Accepted for Oncology -752054 Services Only. Total facilities of hospital",16.07.2025,
54,Bhubaneswar,Apollo Hospitals- Bhubaneswar,"Chandihata, Bhubaneswar, Dist, Odisha, Sainik School Road,Plot No:51, Unit-15, Odisha PIN : 751005, PH :0674-6661016/ 6661066, KIMS SUPER SPECIAITY HOSPITAL (P) LTD",0674-6661016/ 6661066,,-752054 Services Only. Total facilities of hospital (OPD & Indoor) Payment as per MoU.,08.10.2025,Odisha PIN : 751005                              Payment as per MoU.
55,Bilaspur,PH :0674-6661016/ 6661066,"KIMS SUPER SPECIAITY HOSPITAL (P) LTD, Near Agrasen Chowk Magarpara BILASPUR(, Ph:-07752-221755,431000, E-mail:- kimsbsr@yahoo.com, Care n Cure Super Speciality Hospital, Old Pratap Talkies, Pratap Chowk","0674-6661016/ 6661066; 07752-221755,431000                          (",kimsbsr@yahoo.com,CG) Total facilities of hospital (OPD & Indoor),17.07.2012,
56,Bilaspur,Care n Cure Super Speciality Hospital,"Ph:-07752-221755,431000, E-mail:- kimsbsr@yahoo.com, Old Pratap Talkies, Pratap Chowk,, Bilaspur- 495001 (C.G), Ph:- 07752-400036 / 07697030000, Fax- 07305880720, Shriram CARE Hospital","07752-221755,431000                          (; 07752-400036 / 07697030000                  (; 07305880720",kimsbsr@yahoo.com,(OPD & Indoor) Total facilities of hospital (OPD & Indoor),18.06.2014,
57,Bilaspur,Shriram CARE Hospital,"Ph:- 07752-400036 / 07697030000, Fax- 07305880720, Ameri Road, Nehru Nagar, Bilaspur – 49, Tel. +91-7752-271111, Email: src.hospital@gmail.com, aaRBee Institute of Medical Sciences,, A Unit of Bilasa Medicals Pvt. Ltd.",07752-400036 / 07697030000                  (; 07305880720; +91-7752-271111,src.hospital@gmail.com,"(OPD & Indoor) 5001, CG Total facilities of the hospital (OPD & Indoor) Total facilities of the hospital (OPD & Indoor),",06.06.2016,
