sr_no,category,procedure_name,non_nabh_rate,nabh_rate,notes
39,OPHTHALMOLOGY,Corneal grafting—Lamellar keratoplasty,5000.0,5750.0,
40,OPHTHALMOLOGY,Cyanoacrylate /fibrin glue application for corneal perforation,600.0,690.0,
41,OPHTHALMOLOGY,Bandage contact lenses for corneal perforation,400.0,460.0,
42,OPHTHALMOLOGY,Scleral grafting or conjunctival flap for corneal perforation,500.0,575.0,
43,OPHTHALMOLOGY,Keratoconus correction with therapeutic contact lenses,1200.0,1380.0,
44,OPHTHALMOLOGY,Ultraviolet (UV) radiation for cross-linking for keratoconus,1800.0,2070.0,
45,OPHTHALMOLOGY,EDTA for band shaped keratopathy,750.0,863.0,
46,OPHTHALMOLOGY,Arcuate keratotomy for astigmatism,2500.0,2875.0,
47,OPHTHALMOLOGY,Re-suturing (Primary suturing) of corneal wound,1000.0,1150.0,
48,OPHTHALMOLOGY,Penetrating keratoplasty with glaucoma surgery,10000.0,11500.0,
49,OPHTHALMOLOGY,Penetrating keratoplasty with vitrectomy,10560.0,12144.0,
50,OPHTHALMOLOGY,Penetrating keratoplasty with IOL implantation,13656.0,15703.0,
51,OPHTHALMOLOGY,DALK- Deep anterior lamellar keratoplasty,15000.0,17250.0,
52,OPHTHALMOLOGY,Keratoprosthesis stage I and II,10000.0,11500.0,
53,OPHTHALMOLOGY,DSAEK- Descemet’s stripping automated endothelial keratoplasty,16675.0,19176.0,
54,OPHTHALMOLOGY,ALTK- Automated lamellar therapeutic keratoplasty,14500.0,16675.0,
55,OPHTHALMOLOGY,Probing and Syringing of lacrimal sac- in one eye,60.0,69.0,
56,OPHTHALMOLOGY,Probing and Syringing of lacrimal sac- in both eye,120.0,138.0,both eyes
57,OPHTHALMOLOGY,Dacryocystorhinostomy—Plain,1500.0,1725.0,
58,OPHTHALMOLOGY,Dacryocystorhinostomy—Plain with intubation and/or with lacrimal implants,7500.0,8625.0,
59,OPHTHALMOLOGY,Dacryocystorhinostomy—conjunctival with implant,8000.0,9200.0,
60,OPHTHALMOLOGY,Caliculoplasty,2000.0,2300.0,
61,OPHTHALMOLOGY,Dacryocystectomy,1725.0,1984.0,
62,OPHTHALMOLOGY,Punctal plugs for dry eyes,130.0,150.0,
63,OPHTHALMOLOGY,Refraction,36.0,41.0,
64,OPHTHALMOLOGY,Indirect Ophthalmoscopy,67.0,77.0,
65,OPHTHALMOLOGY,Orthoptic check-up- with synoptophore,38.0,44.0,
66,OPHTHALMOLOGY,Lees’ charting or Hess’ charting,100.0,115.0,
67,OPHTHALMOLOGY,Orthoptic exercises,50.0,58.0,
68,OPHTHALMOLOGY,Pleoptic exercises,50.0,58.0,
69,OPHTHALMOLOGY,Perimetry/field test—Goldman,125.0,144.0,
70,OPHTHALMOLOGY,Perimetry/field test— automated,125.0,144.0,
71,OPHTHALMOLOGY,Fluorescein angiography for fundus or iris,960.0,1104.0,
72,OPHTHALMOLOGY,Ultrasound A- Scan,150.0,173.0,
73,OPHTHALMOLOGY,Ultrasound B- Scan,230.0,265.0,
74,OPHTHALMOLOGY,Fundus Photo Test,200.0,230.0,
75,OPHTHALMOLOGY,Indocyanin green angiography,200.0,230.0,
76,OPHTHALMOLOGY,Corneal endothelial cell count with specular microscopy,230.0,265.0,
77,OPHTHALMOLOGY,Corneal topography,200.0,230.0,
78,OPHTHALMOLOGY,Corneal pachymetry,30.0,35.0,
79,OPHTHALMOLOGY,Auto-refraction,35.0,40.0,
80,OPHTHALMOLOGY,Macular function tests,44.0,51.0,
81,OPHTHALMOLOGY,Potential acuity metry,100.0,115.0,
82,OPHTHALMOLOGY,Laser interferometry,173.0,199.0,
83,OPHTHALMOLOGY,OCT-Optical coherence tomography,2125.0,2500.0,
84,OPHTHALMOLOGY,HRT- Heidelberg’s retinal tomogram,120.0,138.0,
85,OPHTHALMOLOGY,GDx Nerve fibre layer analysis,88.0,101.0,
86,OPHTHALMOLOGY,UBM- Ultrasound bio microscopy,50.0,58.0,
87,OPHTHALMOLOGY,Non Contact tonometry (NCT),30.0,35.0,
88,OPHTHALMOLOGY,IOP measurement with schiotz,30.0,35.0,
89,OPHTHALMOLOGY,IOP measurement with applation tonometry,50.0,58.0,
90,OPHTHALMOLOGY,Three mirror examination for retina,50.0,58.0,
90,OPHTHALMOLOGY,D lens examination,50.0,58.0,
92,OPHTHALMOLOGY,Gonioscopy,50.0,58.0,
93,OPHTHALMOLOGY,Chalazion incision and curettage in one eye,300.0,345.0,
94,OPHTHALMOLOGY,Chalazion incision and curettage in both eyes,384.0,442.0,both eyes
95,OPHTHALMOLOGY,Ptosis surgery with fasanella servat procedure,2000.0,2300.0,
96,OPHTHALMOLOGY,Ptosis surgery with LPS resection one lid,5000.0,5750.0,
97,OPHTHALMOLOGY,Ptosis surgery with Sling surgery one lid,6000.0,6900.0,
98,OPHTHALMOLOGY,Ectropion surgery- one lid,1400.0,1610.0,
99,OPHTHALMOLOGY,Ectropion surgery- both lids,2500.0,2875.0,
100,OPHTHALMOLOGY,Epicanthus correction,1550.0,1783.0,
101,OPHTHALMOLOGY,Cantholysis and canthotomy,500.0,575.0,
102,OPHTHALMOLOGY,Entropion surgery- one lid,1200.0,1380.0,
103,OPHTHALMOLOGY,Entropion surgery- both lids,2000.0,2300.0,
104,OPHTHALMOLOGY,Tarsorraphy,650.0,748.0,
105,OPHTHALMOLOGY,Suturing of lid lacerations,1000.0,1150.0,
106,OPHTHALMOLOGY,Lid retraction repair,1500.0,1725.0,
107,OPHTHALMOLOGY,Concretions removal,100.0,115.0,
108,OPHTHALMOLOGY,Bucket handle procedure for lid tumors,300.0,345.0,
109,OPHTHALMOLOGY,Cheek rotation flap for lid tumors,6000.0,6900.0,
110,OPHTHALMOLOGY,Orbitotomy,7000.0,8050.0,
111,OPHTHALMOLOGY,Enucleation,2000.0,2300.0,
115,OPHTHALMOLOGY,Telecanthus correction,4500.0,5175.0,
116,OPHTHALMOLOGY,Orbital decompression,5000.0,5750.0,
117,OPHTHALMOLOGY,Exenteration,6000.0,6900.0,
118,OPHTHALMOLOGY,Exenteration with skin grafting,5000.0,5750.0,
119,OPHTHALMOLOGY,Fracture orbital repair,9200.0,10580.0,
120,OPHTHALMOLOGY,Retinal laser procedures,1450.0,1668.0,
112,OPHTHALMOLOGY,Enucleation with orbital implants and artificial prosthesis,,,
113,OPHTHALMOLOGY,Evisceration,114.0,114.0,
121,OPHTHALMOLOGY,Retinal detachment surgery (RDS),10000.0,11500.0,
123,OPHTHALMOLOGY,Buckle removal,1000.0,1150.0,
124,OPHTHALMOLOGY,Silicone oil removal,2500.0,2875.0,
125,OPHTHALMOLOGY,Anterior retinal cryopexy,1010.0,1162.0,
126,OPHTHALMOLOGY,Squint correction for one eye,2000.0,2300.0,
127,OPHTHALMOLOGY,Squint correction for both eyes,4000.0,4600.0,both eyes
128,OPHTHALMOLOGY,Trabeculectomy,6000.0,6900.0,
129,OPHTHALMOLOGY,Trabeculotomy,6000.0,6900.0,
130,OPHTHALMOLOGY,Trabeculectomy with Trabeculotomy,6000.0,6900.0,
131,OPHTHALMOLOGY,Trephination,2300.0,2645.0,
133,OPHTHALMOLOGY,Glaucoma surgery with Glaucoma valves,,,
2000,OPHTHALMOLOGY,(+ Valve),,,
2300,OPHTHALMOLOGY,( + Valve),,,
134,OPHTHALMOLOGY,Cyclocryotherapy,1000.0,1150.0,
135,OPHTHALMOLOGY,YAG laser iridotomy,1500.0,1725.0,
136,OPHTHALMOLOGY,YAG laser capsulotomy,950.0,1093.0,
137,OPHTHALMOLOGY,ALT-Argon laser trabeculoplasty,1495.0,1719.0,
138,OPHTHALMOLOGY,PDT-Photodymic therapy,3000.0,3450.0,
139,OPHTHALMOLOGY,TTT- Transpupillary thermal therapy,3000.0,3450.0,
140,OPHTHALMOLOGY,PTK- Phototherapeutic keratectomy,7000.0,8050.0,
141,OPHTHALMOLOGY,Argon/diode laser for retinal detatchment,1000.0,1150.0,
142,OPHTHALMOLOGY,Intralase application for keratoconus,5750.0,6613.0,
143,OPHTHALMOLOGY,EOG- electro-oculogram,900.0,1035.0,
144,OPHTHALMOLOGY,ERG- Electro-retinogram,794.0,913.0,
122,OPHTHALMOLOGY,Retinal detachment surgery (RDS) with scleral buckling,,,
132,OPHTHALMOLOGY,Goniotomy,,,
145,OPHTHALMOLOGY,VEP- visually evoked potential,800.0,920.0,
146,OPHTHALMOLOGY,Vitrectomy- pars plana,5000.0,5750.0,
147,OPHTHALMOLOGY,Intravitreal injections of antibiotics,1000.0,1150.0,
149,OPHTHALMOLOGY,X Ray orbit,100.0,115.0,
150,OPHTHALMOLOGY,CT orbit and brain,1600.0,1840.0,
151,OPHTHALMOLOGY,MRI- Orbit and brain,3450.0,3968.0,
152,OPHTHALMOLOGY,Dacryocystography,340.0,391.0,
153,OPHTHALMOLOGY,Orbital angio-graphical studies,1500.0,1725.0,
154,OPHTHALMOLOGY,Extracapsular cataract extraction (ECCE) with IOL,3450.0,3968.0,
155,OPHTHALMOLOGY,Small Incision Cataract Surgery (SICS) with IOL,5000.0,5750.0,
160,OPHTHALMOLOGY,Optic nerve sheathotomy,7500.0,8625.0,
161,OPHTHALMOLOGY,Iridodialysis repair or papillary reconstruction,4950.0,5693.0,
162,OPHTHALMOLOGY,Iris cyst removal,750.0,863.0,
163,OPHTHALMOLOGY,Lid Abscess incision and Drainage,200.0,230.0,
164,OPHTHALMOLOGY,Orbital Abscess incision and Drainage,2800.0,3220.0,
165,OPHTHALMOLOGY,Biopsy (eye),300.0,345.0,
166,OPHTHALMOLOGY,Paracentesis (eye),200.0,230.0,
167,OPHTHALMOLOGY,Scleral graft for scleral melting or perforation,2500.0,2875.0,
168,OPHTHALMOLOGY,Amniotic membrane grafting,1100.0,1265.0,
169,OPHTHALMOLOGY,Cyclodiathermy,2300.0,2645.0,
157,OPHTHALMOLOGY,Pars plana lensectomy with/without IOL Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL Cataract extraction with IOL with capsular tension,,,
159,OPHTHALMOLOGY,rings (Cionni’s ring),158.0,158.0,
170,OPHTHALMOLOGY,Intraocular foreign body removal,187.0,215.0,
171,OPHTHALMOLOGY,Electrolysis (eye),200.0,230.0,
172,OPHTHALMOLOGY,Perforating injury repair (eye),4000.0,4600.0,
173,OPHTHALMOLOGY,Botulinum injection for blepharospasm or squint,2500.0,2875.0,
174,OPHTHALMOLOGY,Flap Operation per quadrant,360.0,414.0,
175,OPHTHALMOLOGY,Gingivectomy per quadrant,234.0,269.0,
176,DENTAL,Reduction & immobilization of fracture- Maxilla Under LA,900.0,1035.0,
177,DENTAL,Reduction & immobilization of fracture-Mandible Under LA,1825.0,2099.0,
178,DENTAL,Splints/Circummandibular wiring under LA,510.0,587.0,
179,DENTAL,Splints/Circummandibular wiring under GA,990.0,1139.0,
180,DENTAL,Internal wire fixation/plate fixation of Maxilla under LA,1825.0,2099.0,
181,DENTAL,Internal wire fixation/plate fixation of Maxilla under GA,4000.0,4600.0,
182,DENTAL,Internal wire fixation/plate fixation of Mandible under LA,2820.0,3243.0,
183,DENTAL,Internal wire fixation/plate fixation of Mandible under GA,4250.0,4888.0,
184,DENTAL,Extraction per tooth under LA,80.0,92.0,
185,DENTAL,Complicated Extraction per Tooth under LA,100.0,115.0,
186,DENTAL,Extraction of impacted tooth under LA,160.0,184.0,
191,DENTAL,TM joint ankylosis- under GA,7500.0,8625.0,
192,DENTAL,Biopsy Intraoral-Soft tissue,374.0,430.0,
187,DENTAL,systemic diseases/patient with special needs under short term Cyst & tumour of Maxilla /mandible by enucleation/,188.0,188.0,
190,DENTAL,enucleation/excision/marsupialisation size more than 4 cms,189.0,189.0,
193,DENTAL,Biopsy Intraoral-Bone,374.0,430.0,
194,DENTAL,Hemi-mandibulectomy with graft,15920.0,18308.0,
195,DENTAL,Hemi-mandibulectomy without graft,11800.0,13570.0,
196,DENTAL,Segmental-mandibulectomy with graft,3400.0,3910.0,
197,DENTAL,Segmental-mandibulectomy without graft,990.0,1139.0,
198,DENTAL,Maxillectomy- Total with graft,2500.0,2875.0,
199,DENTAL,Maxillectomy- Total without graft,1950.0,2243.0,
200,DENTAL,Maxillectomy- partial with graft,3000.0,3450.0,
201,DENTAL,Maxillectomy- partial without graft,2500.0,2875.0,
202,DENTAL,treatment under GA,1500.0,1725.0,
203,DENTAL,Pre-prosthetic surgery- Alveoloplasty,500.0,575.0,
204,DENTAL,Pre-prosthetic surgery - ridge augmentation,1200.0,1380.0,
205,DENTAL,Root canal Treatment(RCT) Anterior teeth(per tooth),500.0,575.0,
206,DENTAL,Root canal Treatment(RCT) Posterior teeth (per tooth),700.0,805.0,
207,DENTAL,Apicoectomy- Single root,500.0,575.0,
208,DENTAL,Apicoectomy-Multiple roots,650.0,748.0,
209,DENTAL,Metal Crown-per unit,500.0,575.0,
210,DENTAL,Metal Crown with Acrylic facing per unit,700.0,805.0,
211,DENTAL,Complete single denture-metal based,1500.0,1725.0,
212,DENTAL,Complete denture- acrylic based per arch,950.0,1093.0,
213,DENTAL,Removable partial denture-Metal based-upto 3 teeth,700.0,805.0,
214,DENTAL,Removable partial denture-Metal based-more than 3 teeth,900.0,1035.0,
215,DENTAL,Removable partial denture-Acrylic based-upto 3 teeth,500.0,575.0,
216,DENTAL,Removable partial denture-Acrylic based-more than,,,
3,DENTAL,teeth / Per tooth,264.0,304.0,
217,DENTAL,Amalgam restoration-per tooth,200.0,230.0,
218,DENTAL,Composite Restoration-per tooth-anterior tooth,250.0,288.0,
219,DENTAL,Glass Ionomer filling-per tooth,200.0,230.0,
220,DENTAL,Scaling & polishing,300.0,345.0,
221,DENTAL,Removable Orthodontics appliance- per Arch,700.0,805.0,
222,DENTAL,Fixed Orthodontics-per Arch,1150.0,1323.0,
223,DENTAL,Space maintainers-Fixed,500.0,575.0,
224,DENTAL,Habit breaking appliances-removable,800.0,920.0,
225,DENTAL,Habit breaking appliances-Fixed,1500.0,1725.0,
226,DENTAL,Expansion plate,1000.0,1150.0,
227,DENTAL,Feeding appliance for cleft palate,1500.0,1725.0,
228,DENTAL,lost part),3500.0,4025.0,
229,DENTAL,Functional orthodontic appliances,3000.0,3450.0,
230,DENTAL,Obturator (Maxillo-facial),1500.0,1725.0,
231,DENTAL,Occlusal night guard(splint),800.0,920.0,
232,DENTAL,Pure Tone Audiogram,172.0,198.0,
233,DENTAL,Impedence with stepedeal reflex,230.0,265.0,
235,DENTAL,Multiple hearing assessment test to Adults,115.0,132.0,
236,DENTAL,Speech Discrimination Score,90.0,104.0,
237,DENTAL,Speech Assessment,120.0,138.0,
238,DENTAL,Speech therapy per session of 30-40 minutes,131.0,151.0,per session
239,DENTAL,Cold Calorie Test for Vestibular function,172.0,198.0,
240,DENTAL,Removal of foreign body From Nose,345.0,397.0,
234,ENT,Short Increment Sensitivity Index (SISI) Tone Decay,,,
241,ENT,Removal of foreign body From Ear,230.0,265.0,
242,ENT,Syringing (Ear),166.0,191.0,
243,ENT,Polyp removal under LA,575.0,661.0,
244,ENT,Polyp removal under GA,850.0,978.0,
245,ENT,Peritonsillar abscess Drainage under LA,1449.0,1666.0,
246,ENT,Myringoplasty,6900.0,7935.0,
247,ENT,Staepedectomy,9200.0,10580.0,
248,ENT,Myringotomy with Grommet insertion,4600.0,5290.0,
249,ENT,Tympanotomy,8625.0,9919.0,
250,ENT,Tympanoplasty,13800.0,15870.0,
251,ENT,Mastoidectomy,14950.0,17193.0,
252,ENT,Otoplasty,16100.0,18515.0,
253,ENT,Labyrinthectomy,13800.0,15870.0,
254,ENT,Skull Base surgery,25000.0,28750.0,
255,ENT,Facial Nerve Decompression,17250.0,19838.0,
256,ENT,Septoplasty,5750.0,6613.0,
257,ENT,Submucous Resection,7314.0,8411.0,
258,ENT,Septo-rhinoplasty,16100.0,18515.0,
259,ENT,Rhinoplasty- Non-cosmetic,11500.0,13225.0,
260,ENT,Fracture Reduction of Nasal Bone,4250.0,4888.0,
261,ENT,Intra nasal Diathermy,1150.0,1323.0,
262,ENT,Turbinectomy,5750.0,6613.0,
263,ENT,Endoscopic Dacryocystorhinostomy (DCR),13000.0,14950.0,
264,ENT,Endoscopic Surgery ENT,13800.0,15870.0,
265,ENT,Septal Perforation Repair,13800.0,15870.0,
266,ENT,Antrum Puncture,950.0,1093.0,
267,ENT,Lateral Rhinotomy,1000.0,1150.0,
268,ENT,Cranio-facial resection,25500.0,29325.0,
270,ENT,Angiofibroma Excision,17000.0,19550.0,
271,ENT,Endoscopic Hypophysectomy,525.0,604.0,
272,ENT,Endoscopic Optic Nerve Decompression,32775.0,37691.0,
273,ENT,Decompression of Orbit,25500.0,29325.0,
274,ENT,Punch/Wedge biopsy,674.0,775.0,
275,ENT,Tonsillectomy,5000.0,5750.0,
276,ENT,Uvulo-palatoplasty,15000.0,17250.0,
269,ENT,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),277.0,277.0,
279,ENT,Polyp removal ear,748.0,860.0,
280,ENT,Polyp removal Nose(Septal polyp),748.0,860.0,
281,ENT,TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis),2415.0,2777.0,
282,ENT,Endolymphatic sac decompression,2875.0,3306.0,
283,ENT,Diagnostic endoscopy under GA,2300.0,2645.0,
284,ENT,Young's operation for Atrophic rhinitis,6900.0,7935.0,
285,ENT,Vidian neurectomy for vasomotor Rhinitis,10350.0,11903.0,
286,ENT,Nasal Packing-anterior,345.0,397.0,
287,ENT,Nasal Packing-posterior,805.0,926.0,
288,ENT,Ranula Excision,6843.0,7869.0,
289,ENT,Tongue Tie excision,1500.0,1725.0,
290,ENT,Sub Mandibular Duct Lithotomy,269.0,309.0,
291,ENT,Adenoidectomy,5640.0,6486.0,
292,ENT,Palatopharyngoplasty,8165.0,9390.0,
293,ENT,Pharyngoplasty,17193.0,19772.0,
294,ENT,Styloidectomy,9200.0,10580.0,
295,ENT,Direct laryngoscopy including Biopsy under GA,5000.0,5750.0,
297,ENT,Bronchoscopy with foreign body (FB) removal,2438.0,2804.0,
298,ENT,Other Major Surgery-ENT,15000.0,17250.0,
299,ENT,Other Minor Surgery-ENT,8500.0,9775.0,
300,ENT,Ear Lobe Repair one side,500.0,575.0,
301,ENT,Injuries) Skin Onlyof Pinna for Growth (Squamous/Basal/ Excision,4000.0,4600.0,
302,ENT,Injuries) Skin and Cartilage,3800.0,4370.0,
303,ENT,Partial Amputation of Pinna,4500.0,5175.0,
304,ENT,Total Amputation of Pinna,6200.0,7130.0,
306,ENT,Excision of Cystic Hygroma,5175.0,5951.0,
307,ENT,Excision of Cystic Hygroma Extensive,7452.0,8570.0,
308,ENT,Excision of Branchial Cyst,10350.0,11903.0,
309,ENT,Excision of Branchial Sinus,10350.0,11903.0,
310,ENT,Excision of Pharyngeal Diverticulum,10580.0,12167.0,
311,ENT,Excision of Carotid Body-Tumours,11615.0,13357.0,
312,ENT,Operation for Cervical Rib,12500.0,14375.0,
305,FOR HEAD AND,Total Amputation & Excision of External Auditory Meatus,,,
313,FOR HEAD AND,Block Dissection of Cervical Lymph Nodes,15000.0,17250.0,
314,FOR HEAD AND,Pharyngectomy & Reconstruction,15000.0,17250.0,
315,FOR HEAD AND,Operation for Carcinoma Lip - Wedge-Excision,8050.0,9258.0,
316,FOR HEAD AND,Operation for Carcinoma Lip - Vermilionectomy,5758.0,6622.0,
317,FOR HEAD AND,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,9292.0,10686.0,
318,FOR HEAD AND,Estlander Operation (Estlander flap in plastic surgey of lips),7475.0,8596.0,
319,FOR HEAD AND,Abbe Operation (Abbe flap in plastic surgery of lips),9800.0,11270.0,
320,FOR HEAD AND,Cheek Advancement,9775.0,11241.0,
321,FOR HEAD AND,Excision of the Maxilla,19320.0,22218.0,
322,FOR HEAD AND,Excision of mandible-segmental,15525.0,17854.0,
323,FOR HEAD AND,Mandibulectomy,21000.0,24150.0,
324,FOR HEAD AND,Partial Glossectomy,5520.0,6348.0,
325,FOR HEAD AND,Hemiglossectomy,7000.0,8050.0,
326,FOR HEAD AND,Total Glossectomy,22885.0,26318.0,
328,FOR HEAD AND,Parotidectomy - Superficial,12075.0,13886.0,
329,FOR HEAD AND,Parotidectomy - Total,15000.0,17250.0,
330,FOR HEAD AND,Parotidectomy - Radical,19550.0,22483.0,
331,FOR HEAD AND,Repair of Parotid Duct,11500.0,13225.0,
332,FOR HEAD AND,Removal of Submandibular Salivary gland,8625.0,9919.0,
333,FOR HEAD AND,Hemithyroidectomy,9500.0,10925.0,
334,FOR HEAD AND,Partial Thyroidectomy (lobectomy),11500.0,13225.0,
335,FOR HEAD AND,Subtotal Thyroidectomy,13053.0,15011.0,
336,FOR HEAD AND,Total Thyroidectomy,19000.0,21850.0,
337,FOR HEAD AND,Resection Enucleation of thyroid Adenoma,10580.0,12167.0,
327,FOR HEAD AND,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation),,,
338,FOR HEAD AND,Total Thyroidectomy and Block Dissection,26450.0,30418.0,
339,FOR HEAD AND,Excision of Lingual Thyroid,16882.0,19414.0,
340,FOR HEAD AND,Excision of Thyroglossal Cyst/Fistula,13225.0,15209.0,
341,FOR HEAD AND,Excision of Parathyroid Adenoma/Carcinoma,21275.0,24466.0,
342,FOR HEAD AND,Laryngectomy,17825.0,20499.0,
343,FOR HEAD AND,Laryngo Pharyngectomy,30000.0,34500.0,
344,FOR HEAD AND,Hyoid Suspension,10350.0,11903.0,
345,FOR HEAD AND,Genioplasty,12000.0,13800.0,
346,FOR HEAD AND,Direct Laryngoscopy including biopsy under GA,5175.0,5951.0,
347,FOR HEAD AND,Phonosurgery,13800.0,15870.0,
348,FOR HEAD AND,Fibreoptic examination of Larynx (FOL) under LA,1725.0,1984.0,
349,FOR HEAD AND,Microlaryngeal Surgery,10350.0,11903.0,
350,FOR HEAD AND,Laryngofissure,17250.0,19838.0,
351,FOR HEAD AND,Tracheal Stenosis Excision,19780.0,22747.0,
352,FOR HEAD AND,Excisional Biopsies,5750.0,6613.0,
353,FOR HEAD AND,Benign Tumour Excisions,9500.0,10925.0,
354,FOR HEAD AND,Temporal Bone subtotal resection,20700.0,23805.0,
355,FOR HEAD AND,Modified Radical Neck Dissection,25300.0,29095.0,
356,FOR HEAD AND,Carotid Body Excision,26000.0,29900.0,
357,FOR HEAD AND,Total Laryngectomy,39192.0,45071.0,
358,FOR HEAD AND,Flap Reconstructive Surgery,41400.0,47610.0,
359,FOR HEAD AND,Parapharyngeal Tumour Excision,39330.0,45230.0,
360,FOR HEAD AND,Other Major Surgery-Head and Neck Cancer,21250.0,24438.0,
361,FOR HEAD AND,Other Minor Surgery-Head and Neck Cancer,5000.0,5750.0,
362,BREAST SURGERY,Drainage of abscess,6000.0,6900.0,
363,BREAST SURGERY,Excision of lumps,6969.0,8014.0,
364,BREAST SURGERY,Local mastectomy-simple,12650.0,14548.0,
365,BREAST SURGERY,Radical mastectomy-formal or modified.,28750.0,33063.0,
366,BREAST SURGERY,Excision of mammary fistula,15525.0,17854.0,
367,BREAST SURGERY,Segmental resection of breast,16100.0,18515.0,
368,BREAST SURGERY,Other Major Surgery-Breast,25000.0,28750.0,
369,BREAST SURGERY,Other Minor Surgery-Breast,5000.0,5750.0,
370,BREAST SURGERY,Injury Of Superficial Soft Tissues,425.0,489.0,
371,BREAST SURGERY,Suturing of small wounds,1060.0,1250.0,
372,BREAST SURGERY,Secondary suture of wounds,3400.0,4000.0,
373,BREAST SURGERY,Debridement of wounds,1275.0,1500.0,
374,BREAST SURGERY,Removal Of Foreign Bodies without C-ARM,1275.0,1500.0,
375,BREAST SURGERY,Excision of Cervical Lymph Node under LA,2635.0,3100.0,
377,BREAST SURGERY,Excision of Inguinal Lymph Node under LA,2550.0,3000.0,
378,BREAST SURGERY,Excision Biopsy of Ulcers,1470.0,1691.0,
379,BREAST SURGERY,Excision Biopsy of Superficial Lumps,3220.0,3703.0,
380,BREAST SURGERY,Incision Biopsy of Growths/Ulcers,1470.0,1691.0,
381,BREAST SURGERY,Trucut Needle Biopsy (Including needle),2975.0,3500.0,
382,GENERAL,Percutaneous Kidney Biopsy,1470.0,1691.0,
383,GENERAL,Marrow Biopsy (Open),1060.0,1219.0,
384,GENERAL,Muscle Biopsy (See CGHS rate code 1724),1470.0,1691.0,
385,GENERAL,Scalene Node Biopsy,1350.0,1553.0,
386,GENERAL,Excision of Sebaceous Cysts,1242.0,1428.0,
387,GENERAL,Excision of Superficial Lipoma,1932.0,2222.0,
388,GENERAL,Excision of Superficial Neurofibroma,2500.0,2875.0,
389,GENERAL,Excision of Dermoid Cysts,2277.0,2619.0,
390,GENERAL,Haemorrhoidectomy,25500.0,30000.0,
391,GENERAL,Stappler haemorrhoidectomy,37145.0,43700.0,
392,GENERAL,keloid excision,1150.0,1323.0,
395,OESOPHAGUS,Operations for Replacement of Oesophagus by Colon,25000.0,28750.0,
396,OESOPHAGUS,Oesophagectomy for Carcinoma Easophagus,25000.0,28750.0,
